variety,lat,long,weight,wing,color,beak
1,83.20898654,41.3608006,16.79811161,25.70183949,2,19.41091654
1,81.68998783,39.29770271,13.39715954,25.05303782,1,12.52535303
1,90.09448207,37.40862557,19.72086908,26.80749862,2,17.55509955
1,86.60107775,41.09860105,22.25235551,27.92137311,2,22.93726677
1,82.18774959,40.89782717,22.56110898,27.57747772,2,23.06062339
1,82.20191222,35.31048195,16.5277124,26.8666565,1,15.39483148
1,89.18915447,35.04896502,17.35181207,27.04359601,1,16.71777585
1,90.99095616,40.22653888,18.62343363,27.17939721,1,18.69406717
1,82.90216923,40.061566,17.36115492,26.09802614,2,17.307621
1,85.96008823,36.72268077,20.43136941,27.42554842,2,18.16898321
1,86.94637001,36.27181464,14.49645396,24.3319422,1,13.81733517
1,86.14120611,40.19666383,16.87204859,26.69238117,1,16.46178012
1,88.01403054,35.5000096,16.55429775,26.49156185,1,17.69991914
1,81.26734239,35.36541211,19.40721867,28.9957684,2,18.75613662
1,84.58136256,39.54826441,13.77232433,22.693453,2,12.80792621
1,90.12456773,36.32533298,16.97615386,27.03495512,1,20.98322875
1,87.2922103,40.18493647,14.39293751,25.13189234,1,15.57537504
1,87.01092822,37.96857178,15.50016805,25.77394114,2,15.22227588
1,89.79686238,41.3182381,15.88801422,27.3825565,1,16.45621456
1,85.40754756,40.58573008,16.86520189,25.83600868,1,14.90533594
1,86.69952615,35.69949755,13.59274622,22.63821078,2,12.55771439
1,88.60387881,37.03626552,19.70052392,28.43089442,1,19.48358423
1,82.90865895,36.90626545,18.32664667,26.65545193,1,20.12997162
1,89.00008716,39.93741425,19.14287968,28.09643036,1,18.49393215
1,83.25221905,40.31180496,18.09436498,28.1644487,2,17.12778317
1,85.84843218,38.05530268,14.3408005,25.3491772,2,14.60655821
1,85.55963013,38.60800447,19.7679677,28.1191447,1,20.49657172
1,87.61158497,38.80950545,21.18401204,26.78398159,1,21.68495339
1,87.83628443,35.37033247,13.7634461,23.92893538,1,14.19958439
1,82.25350656,39.5355248,15.10932331,26.21755516,1,12.7713829
1,88.59925436,37.3973504,20.12620353,27.2545593,2,18.14135148
1,81.89026421,35.9893542,15.50669092,26.54916844,2,16.90466627
1,84.80104699,35.31622676,18.97928099,27.0705047,1,18.73916067
1,84.07558609,41.45344714,18.89412977,28.17956337,2,19.46213139
1,85.9613646,38.99373463,13.64163914,24.63527837,2,15.26787725
1,83.77197266,37.3062048,11.25929915,22.83887368,2,10.60704193
1,82.9333708,37.91086551,18.71826034,25.98345445,2,19.00377689
1,83.84793089,35.01228531,18.27298379,26.40254762,2,16.61520585
1,86.59882084,38.0861461,17.71832763,26.77094886,2,16.57818254
1,90.11507722,40.24940741,18.27619924,27.20743289,2,19.12470691
1,82.15851988,38.16614404,21.00833738,26.60788279,2,21.06777947
1,87.03281769,39.87842643,13.40655807,22.70891327,1,14.28709786
1,84.99697403,38.87208334,15.79097134,28.30791323,1,16.59457377
1,87.20555721,36.31492442,21.55381083,26.94484879,2,21.78478993
1,85.84085728,41.30005226,10.79450488,21.69242496,1,9.485850263
